iteration	content_id	file	type	score_before	score_after	delta	length	compliance	status
## SESSION 1 — Accent/tutoiement fixes (hygiene)
1	choc_3a_explanation	response_card_service.dart	chiffreChoc	82	95	+13	85	100	improved
2	choc_lpp_buyback	response_card_service.dart	chiffreChoc	82	95	+13	120	100	improved
3	choc_replacement_rate	response_card_service.dart	chiffreChoc	85	97	+12	130	100	improved
4	alerte_replacement_60	response_card_service.dart	alertes	87	97	+10	75	100	improved
5	choc_avs_gap	response_card_service.dart	chiffreChoc	85	97	+12	80	100	improved
6	choc_couple_alert	response_card_service.dart	chiffreChoc	72	95	+23	90	100	improved
7	choc_independant_3a	response_card_service.dart	chiffreChoc	87	95	+8	95	100	improved
8	choc_tax_optimization	response_card_service.dart	chiffreChoc	82	95	+13	85	100	improved
9	choc_patrimoine_under	response_card_service.dart	chiffreChoc	82	97	+15	110	100	improved
10	alerte_coussin_securite	response_card_service.dart	alertes	85	97	+12	90	100	improved
11	choc_mortgage	response_card_service.dart	chiffreChoc	87	97	+10	85	100	improved
12	alerte_minimum_vital	debt_prevention_service.dart	alertes	75	95	+20	125	100	improved
13	choc_ratio_dette	debt_prevention_service.dart	chiffreChoc	85	97	+12	65	100	improved
14	choc_liberation_mois	debt_prevention_service.dart	chiffreChoc	82	95	+13	100	100	improved
15	disclaimer_debt_ratio	debt_prevention_service.dart	disclaimer	80	95	+15	180	100	improved
16	disclaimer_repayment	debt_prevention_service.dart	disclaimer	78	95	+17	200	100	improved
17	choc_location_vs_achat	arbitrage_engine.dart	chiffreChoc	78	95	+17	110	100	improved
18	alerte_finma_charges	arbitrage_engine.dart	alertes	80	97	+17	130	100	improved
19	disclaimer_educatif_x6	arbitrage_engine.dart	disclaimer	90	100	+10	60	100	improved
20	choc_economie_3a	pillar_3a_deep_service.dart	chiffreChoc	82	95	+13	85	100	improved
21	choc_rendement_reel	pillar_3a_deep_service.dart	chiffreChoc	82	95	+13	90	100	improved
22	choc_difference_provider	pillar_3a_deep_service.dart	chiffreChoc	85	95	+10	80	100	improved
23	disclaimer_staggered	pillar_3a_deep_service.dart	disclaimer	75	95	+20	210	100	improved
24	disclaimer_provider	pillar_3a_deep_service.dart	disclaimer	75	95	+20	200	100	improved
25	disclaimer_real_return	pillar_3a_deep_service.dart	disclaimer	85	95	+10	190	100	improved
26	choc_unemployment	unemployment_service.dart	chiffreChoc	85	95	+10	75	100	improved
27	choc_first_job	first_job_service.dart	chiffreChoc	87	95	+8	95	100	improved
28	choc_fiscal_equal	fiscal_service.dart	chiffreChoc	82	92	+10	85	100	improved
29	consultez_x13	10 service files	disclaimer	80	95	+15	varies	100	improved
30	educatif_x15	10 service files	disclaimer	90	100	+10	varies	100	improved
31	specialiste_x6	5 service files	disclaimer	85	100	+15	varies	100	improved
## SESSION 2 — Emotional impact rewrite (content quality)
32	choc_replacement_rate_v2	response_card_service.dart	chiffreChoc	55	90	+35	140	100	improved
33	alerte_replacement_v2	response_card_service.dart	alertes	60	88	+28	120	100	improved
34	choc_avs_gap_v2	response_card_service.dart	chiffreChoc	50	92	+42	120	100	improved
35	choc_patrimoine_v2	response_card_service.dart	chiffreChoc	45	90	+45	130	100	improved
36	alerte_coussin_v2	response_card_service.dart	alertes	50	88	+38	110	100	improved
37	choc_tax_v2	response_card_service.dart	chiffreChoc	55	90	+35	100	100	improved
38	choc_couple_v2	response_card_service.dart	chiffreChoc	50	88	+38	110	100	improved
39	choc_3a_v2	response_card_service.dart	chiffreChoc	60	92	+32	100	100	improved
40	choc_lpp_v2	response_card_service.dart	chiffreChoc	55	92	+37	110	100	improved
41	choc_independant_v2	response_card_service.dart	chiffreChoc	55	90	+35	120	100	improved
42	choc_mortgage_v2	response_card_service.dart	chiffreChoc	50	88	+38	110	100	improved
43	tip_tax_v2	fallback_templates.dart	coachingTip	55	90	+35	100	100	improved
44	tip_liquidity_v2	fallback_templates.dart	coachingTip	45	90	+45	120	100	improved
45	tip_retirement_v2	fallback_templates.dart	coachingTip	40	88	+48	130	100	improved
46	scoreSummary_v2	fallback_templates.dart	narrative	50	88	+38	90	100	improved
47	chocReframe_v2	fallback_templates.dart	chiffreChoc	55	90	+35	120	100	improved
48	enrichAction_lpp_v2	fallback_templates.dart	microAction	55	92	+37	100	100	improved
49	enrichAction_avs_v2	fallback_templates.dart	microAction	55	92	+37	100	100	improved
50	enrichAction_salary_v2	fallback_templates.dart	microAction	55	90	+35	90	100	improved
51	enrichGuide_lpp_v2	fallback_templates.dart	narrative	50	90	+40	150	100	improved
52	enrichGuide_avs_v2	fallback_templates.dart	narrative	55	90	+35	120	100	improved
53	enrichGuide_3a_v2	fallback_templates.dart	narrative	55	88	+33	100	100	improved
54	enrichGuide_patrimoine_v2	fallback_templates.dart	narrative	55	88	+33	100	100	improved
55	enrichGuide_fiscal_v2	fallback_templates.dart	narrative	55	90	+35	110	100	improved
56	enrichGuide_retraite_v2	fallback_templates.dart	narrative	55	90	+35	110	100	improved
57	enrichGuide_menage_v2	fallback_templates.dart	narrative	55	88	+33	100	100	improved
58	enrichGuide_default_v2	fallback_templates.dart	narrative	60	88	+28	80	100	improved
59	choc_employment_v2	educational_insert_service.dart	chiffreChoc	55	90	+35	130	100	improved
60	choc_housing_v2	educational_insert_service.dart	chiffreChoc	50	88	+38	140	100	improved
61	choc_investments_v2	educational_insert_service.dart	chiffreChoc	40	90	+50	120	100	improved
62	choc_canton_v2	educational_insert_service.dart	chiffreChoc	60	92	+32	110	100	improved
63	choc_lpp_buyback_v2	educational_insert_service.dart	chiffreChoc	60	92	+32	120	100	improved
64	choc_3a_stagger_v2	educational_insert_service.dart	chiffreChoc	55	90	+35	120	100	improved
65	choc_unemployment_v2	unemployment_service.dart	chiffreChoc	60	92	+32	130	100	improved
66	choc_first_job_v2	first_job_service.dart	chiffreChoc	65	90	+25	100	100	improved
67	choc_debt_ratio_v2	debt_prevention_service.dart	chiffreChoc	55	90	+35	100	100	improved
68	choc_debt_libere_v2	debt_prevention_service.dart	chiffreChoc	60	92	+32	120	100	improved
