id	section	surface_file	surface_line	element	expected	tap_strategy	tap_x	tap_y	wait_max	skip_reason	notes
4.1	ProfileDrawer	profile_drawer.dart	40	"Mon profil"	Navigates to `/profile`	centered_tap	195	400	6		
4.2	ProfileDrawer	profile_drawer.dart	48	"Mon bilan"	Navigates to `/profile/bilan`	centered_tap	195	400	6		
4.3	ProfileDrawer	profile_drawer.dart	57	"Couple" (visible only if `profile.isCouple`)	Navigates to `/couple`	centered_tap	195	400	6		Visible only when profile.isCouple == true
4.4	ProfileDrawer	profile_drawer.dart	65	"Mes documents" — main tap	Navigates to `/documents`	centered_tap	195	400	6		
4.5	ProfileDrawer	profile_drawer.dart	67	"Mes documents" — camera trailing action	Navigates to `/scan`	centered_tap	195	400	6		
4.6	ProfileDrawer	profile_drawer.dart	75	"Historique coach"	Navigates to `/coach/history`	centered_tap	195	400	6		
4.7	ProfileDrawer	profile_drawer.dart	98	"Clé API" (BYOK)	Navigates to `/profile/byok`	centered_tap	195	400	6		
4.8	ProfileDrawer	profile_drawer.dart	104	"Confidentialité" (consent)	Navigates to `/profile/consent`	centered_tap	195	400	6		
4.9	ProfileDrawer	profile_drawer.dart	110	"Langue"	**Known stub** — TODO inline language picker. Should at minimum no-op gracefully or surface a placeholder.	centered_tap	195	400	6	Known stub per scaffold line 113 — TODO inline language picker	
4.10	ProfileDrawer	profile_drawer.dart	118	"Transparence des données"	Navigates to `/profile/data-transparency`	centered_tap	195	400	6		
4.11	ProfileDrawer	profile_drawer.dart	124	"Contrôle confidentialité"	Navigates to `/profile/privacy-control`	centered_tap	195	400	6		
4.12	ProfileDrawer	profile_drawer.dart	134	"Déconnexion"	Pops drawer + `context.go('/')` to landing	centered_tap	195	400	6		
1.1	Tab1_Aujourdhui	mint_home_screen.dart	151	Premier éclairage card tap	Opens premier éclairage detail / triggers coach handoff	centered_tap	195	400	6		
1.2	Tab1_Aujourdhui	mint_home_screen.dart	258	Premier éclairage CTA button	Triggers the éclairage primary action	centered_tap	195	400	6		
1.3	Tab1_Aujourdhui	mint_home_screen.dart	340	Coach handoff card	Switches to Coach tab with payload	centered_tap	195	400	6		
1.4	Tab1_Aujourdhui	mint_home_screen.dart	475	Hero card tap	`context.push(hero.route)` — opens hero target screen	centered_tap	195	400	6		
1.5	Tab1_Aujourdhui	mint_home_screen.dart	484	Progress milestone card tap	`context.push(progress.route)` — opens progress detail	centered_tap	195	400	6		
